subject_id,split_no,hostname,start_time,end_time,runtime_seconds
13799268563035,0,g3051,2026-01-31T07:05:07.877877,2026-01-31T07:05:17.970907,10.09
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
16339919319697,0,g3051,2026-01-31T07:05:17.975963,2026-01-31T07:05:27.819709,9.84
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
17236206359109,0,g3051,2026-01-31T07:05:27.827445,2026-01-31T07:05:37.880054,10.05
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
10114964023436,1,g3063,2026-01-31T07:04:50.080959,2026-01-31T07:05:47.793373,57.71
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
12266467217442,1,g3063,2026-01-31T07:05:47.802274,2026-01-31T07:06:02.487291,14.69
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
19515069348763,0,g3051,2026-01-31T07:05:39.566724,2026-01-31T07:06:24.650077,45.08
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
21909463934838,0,g3051,2026-01-31T07:06:24.678954,2026-01-31T07:06:53.713229,29.03
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
22739958691056,0,g3051,2026-01-31T07:06:53.721253,2026-01-31T07:07:21.226154,27.50
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
13982414451514,1,g3063,2026-01-31T07:06:02.494569,2026-01-31T07:07:32.938783,90.44
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
24429041449362,0,g3051,2026-01-31T07:07:21.231032,2026-01-31T07:07:47.779264,26.55
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
17262617574870,1,g3063,2026-01-31T07:07:39.675825,2026-01-31T07:08:03.984172,24.31
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
26098224140177,0,g3051,2026-01-31T07:07:47.815982,2026-01-31T07:08:12.038728,24.22
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
18197100217970,1,g3063,2026-01-31T07:08:04.008253,2026-01-31T07:08:33.386077,29.38
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
27756622012770,0,g3051,2026-01-31T07:08:12.049965,2026-01-31T07:08:35.661069,23.61
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
29906987659391,0,g3051,2026-01-31T07:08:35.670572,2026-01-31T07:08:59.735305,24.06
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
20227712453519,1,g3063,2026-01-31T07:08:33.415933,2026-01-31T07:09:01.086208,27.67
