preset,TP,FN,NS_pos,TN,FP,NS_neg,sensitivity_strict,sensitivity_excl_NS,specificity_strict,specificity_excl_NS,agreement_pos,disagreement_pos,not_specified_pos,median_cFL_pos,median_cFL_neg,n_cFL_pos,n_cFL_neg
S0_baseline,1,39,22,30,0,32,0.016129032258064516,0.025,0.4838709677419355,1.0,1,39,22,0.8441198468208313,0.8820841312408447,40,30
S1,1,49,12,40,0,22,0.016129032258064516,0.02,0.6451612903225806,1.0,1,49,12,0.873039186000824,0.9151773452758789,50,40
S12,1,61,0,62,0,0,0.016129032258064516,0.016129032258064516,1.0,1.0,1,61,0,0.847563236951828,0.9470504522323608,62,62
S123,0,62,0,62,0,0,0.0,0.0,1.0,1.0,0,62,0,1.4274252048464038,1.709021728247188,62,62
S1234,12,50,0,58,4,0,0.1935483870967742,0.1935483870967742,0.9354838709677419,0.9354838709677419,12,50,0,1.4274252048464038,1.709021728247188,62,62
S12345,49,13,0,38,24,0,0.7903225806451613,0.7903225806451613,0.6129032258064516,0.6129032258064516,49,13,0,1.4274252048464038,1.709021728247188,62,62
S123456,49,13,0,38,24,0,0.7903225806451613,0.7903225806451613,0.6129032258064516,0.6129032258064516,49,13,0,1.4274252048464038,1.709021728247188,62,62
