preset,TP,FN,NS_pos,TN,FP,NS_neg,sensitivity_strict,sensitivity_excl_NS,specificity_strict,specificity_excl_NS,agreement_pos,disagreement_pos,not_specified_pos,median_cFL_pos,median_cFL_neg,n_cFL_pos,n_cFL_neg
S0_baseline,1,39,22,23,0,39,0.016129032258064516,0.025,0.3709677419354839,1.0,1,39,22,0.8441198468208313,0.9132271409034729,40,23
S1,1,49,12,41,0,21,0.016129032258064516,0.02,0.6612903225806451,1.0,1,49,12,0.873039186000824,0.91596519947052,50,41
S12,1,61,0,61,1,0,0.016129032258064516,0.016129032258064516,0.9838709677419355,0.9838709677419355,1,61,0,0.847563236951828,0.9516966044902802,62,62
S123,0,62,0,62,0,0,0.0,0.0,1.0,1.0,0,62,0,1.4274252048464038,1.7123429246418147,62,62
S1234,12,50,0,61,1,0,0.1935483870967742,0.1935483870967742,0.9838709677419355,0.9838709677419355,12,50,0,1.4274252048464038,1.7123429246418147,62,62
S12345,49,13,0,39,23,0,0.7903225806451613,0.7903225806451613,0.6290322580645161,0.6290322580645161,49,13,0,1.4274252048464038,1.7123429246418147,62,62
S123456,49,13,0,39,23,0,0.7903225806451613,0.7903225806451613,0.6290322580645161,0.6290322580645161,49,13,0,1.4274252048464038,1.7123429246418147,62,62
