preset,TP,FN,NS_pos,TN,FP,NS_neg,sensitivity_strict,sensitivity_excl_NS,specificity_strict,specificity_excl_NS,agreement_pos,disagreement_pos,not_specified_pos,median_cFL_pos,median_cFL_neg,n_cFL_pos,n_cFL_neg
S0_baseline,1,39,22,22,0,40,0.016129032258064516,0.025,0.3548387096774194,1.0,1,39,22,0.8441198468208313,0.9160147607326508,40,22
S1,1,49,12,39,0,23,0.016129032258064516,0.02,0.6290322580645161,1.0,1,49,12,0.873039186000824,0.9387099146842957,50,39
S12,1,61,0,61,0,1,0.016129032258064516,0.016129032258064516,0.9838709677419355,1.0,1,61,0,0.847563236951828,0.971430778503418,62,61
S123,0,62,0,61,0,1,0.0,0.0,0.9838709677419355,1.0,0,62,0,1.4274252048464038,1.7834130459998154,62,61
S1234,12,50,0,59,2,1,0.1935483870967742,0.1935483870967742,0.9516129032258065,0.9672131147540983,12,50,0,1.4274252048464038,1.7834130459998154,62,61
S12345,49,13,0,41,20,1,0.7903225806451613,0.7903225806451613,0.6612903225806451,0.6721311475409836,49,13,0,1.4274252048464038,1.7834130459998154,62,61
S123456,49,13,0,41,20,1,0.7903225806451613,0.7903225806451613,0.6612903225806451,0.6721311475409836,49,13,0,1.4274252048464038,1.7834130459998154,62,61
