preset,TP,FN,NS_pos,TN,FP,NS_neg,sensitivity_strict,sensitivity_excl_NS,specificity_strict,specificity_excl_NS,agreement_pos,disagreement_pos,not_specified_pos,median_cFL_pos,median_cFL_neg,n_cFL_pos,n_cFL_neg
S0_baseline,1,39,22,23,0,39,0.016129032258064516,0.025,0.3709677419354839,1.0,1,39,22,0.8441198468208313,0.8800020813941956,40,23
S1,1,49,12,35,0,27,0.016129032258064516,0.02,0.5645161290322581,1.0,1,49,12,0.873039186000824,0.9115171432495117,50,35
S12,1,61,0,62,0,0,0.016129032258064516,0.016129032258064516,1.0,1.0,1,61,0,0.847563236951828,0.9485993087291718,62,62
S123,0,62,0,62,0,0,0.0,0.0,1.0,1.0,0,62,0,1.4274252048464038,1.714018569727975,62,62
S1234,12,50,0,59,3,0,0.1935483870967742,0.1935483870967742,0.9516129032258065,0.9516129032258065,12,50,0,1.4274252048464038,1.714018569727975,62,62
S12345,49,13,0,40,22,0,0.7903225806451613,0.7903225806451613,0.6451612903225806,0.6451612903225806,49,13,0,1.4274252048464038,1.714018569727975,62,62
S123456,49,13,0,40,22,0,0.7903225806451613,0.7903225806451613,0.6451612903225806,0.6451612903225806,49,13,0,1.4274252048464038,1.714018569727975,62,62
