preset,TP,FN,NS_pos,TN,FP,NS_neg,sensitivity_strict,sensitivity_excl_NS,specificity_strict,specificity_excl_NS,agreement_pos,disagreement_pos,not_specified_pos,median_cFL_pos,median_cFL_neg,n_cFL_pos,n_cFL_neg
S0_baseline,1,39,22,22,0,40,0.016129032258064516,0.025,0.3548387096774194,1.0,1,39,22,0.8441198468208313,0.9374723136425018,40,22
S1,1,49,12,36,0,26,0.016129032258064516,0.02,0.5806451612903226,1.0,1,49,12,0.873039186000824,0.946986198425293,50,36
S12,1,61,0,62,0,0,0.016129032258064516,0.016129032258064516,1.0,1.0,1,61,0,0.847563236951828,0.9782647490501404,62,62
S123,0,62,0,62,0,0,0.0,0.0,1.0,1.0,0,62,0,1.4274252048464038,1.796249272873714,62,62
S1234,12,50,0,61,1,0,0.1935483870967742,0.1935483870967742,0.9838709677419355,0.9838709677419355,12,50,0,1.4274252048464038,1.796249272873714,62,62
S12345,49,13,0,44,18,0,0.7903225806451613,0.7903225806451613,0.7096774193548387,0.7096774193548387,49,13,0,1.4274252048464038,1.796249272873714,62,62
S123456,49,13,0,44,18,0,0.7903225806451613,0.7903225806451613,0.7096774193548387,0.7096774193548387,49,13,0,1.4274252048464038,1.796249272873714,62,62
